therapeutic_area,source_name,source_type,source_date,insight_type,title,summary,detail,evidence_excerpt,country,region,persona,platform,audience,journey_stage,topic,tags,confidence,importance
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,persona,Symptomatic patients skew younger and seek explanation for pain and fertility impact,"Globally, the symptomatic persona skews younger, worries about pain and discomfort, and tries to understand whether the condition will affect fertility.",Early-stage patients are trying to figure out the cause of symptoms and hope the condition is simple and diagnosable.,Symptomatic: Skews younger and is worried about symptom pain and discomfort or figuring out a cause ... what impact it may have on fertility.,Global,Global,Symptomatic,,Patient,Pre-diagnosis,Patient Persona,"[""global"", ""persona"", ""symptoms"", ""fertility""]",0.93,0.87
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,persona,Pregnant patients focus on baby health more than their own condition,"The pregnant persona is primarily concerned with the baby’s health, fetal growth, breech birth risk, and pregnancy success rather than her own symptoms.","Pregnancy shifts attention from fertility anxiety to uterine fibroid size, baby safety, and delivery complications.",Pregnant: Worried about fertility. Now that she is pregnant she is more concerned with the success and health of the baby specifically ... possibility of breeched birth ... and potential for failure in fetal growth.,Global,Global,Pregnant,,Patient,Pregnancy,Patient Persona,"[""global"", ""persona"", ""pregnancy"", ""baby-health""]",0.94,0.89
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Austria conversations are driven by fertility and pregnancy fears,"In Austria, uterine fibroid conversations cluster around fertility fears, hormone treatments, and pregnancy fears, with pregnancy concerns acting as a main catalyst.",Austrian women appear relatively educated about fibroids but most often discuss them in the context of pregnancy or difficulty conceiving.,Conversations mentioning uterine fibroids specifically are limited in Austria ... Pregnancy and fertility — no matter the demographic of the patient were the catalyst for conversations.,Austria,Europe,Fertility Fears,,Patient,Fertility/Pregnancy,Conversation Drivers,"[""austria"", ""fertility"", ""pregnancy"", ""hormone-treatment""]",0.9,0.85
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Austrian patients primarily use forums for detailed exchange,"Austria’s most relevant discussion venues are forum-based, especially Parents.AT, Netdoktor.AT, and BabyForum.AT.","High-quality user-generated content is concentrated in forums, while news sources and general sites skew toward low-quality self-diagnostic content.","Overall, the bulk of conversation and knowledge exchange took place on forums more than any other source ... Parents.AT, Netdoktor.AT, BabyForum.AT.",Austria,Europe,,Forums,Patient,Research/Information Seeking,Platform Preference,"[""austria"", ""forums"", ""parents.at"", ""babyforum.at"", ""netdoktor.at""]",0.91,0.82
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,trust_signal,Belgian discussions mention fibroids mostly alongside other conditions,"In Belgium, fibroids are usually discussed only in passing and most often alongside endometriosis, fertility issues, or painful periods.","Educational materials mention fibroids, but first-person narratives are sparse and the condition rarely becomes the central topic.",Conversations surrounding uterine fibroids in Belgium are limited ... almost all conversations revolved around another women’s health issue.,Belgium,Europe,Endometriosis Support,,Patient,Condition Exploration,Condition Framing,"[""belgium"", ""endometriosis"", ""fertility"", ""painful-periods""]",0.88,0.78
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Belgian fibroid mentions cluster on mixed health and parenting sites,"Belgian discussion volume is concentrated on ZappyBabby.be, Sudinfo.be, and E-Gezondheid.be, usually in tangential threads rather than fibroid-specific ones.","These venues mix parenting, general health, and news content; awareness campaigns should meet patients where symptoms are confused with other conditions.","Belgium uterine fibroid mentions appeared most often in the following sites: ZappyBabby.be, Sudinfo.be, E-Gezondheid.be ... platforms did not have uterine fibroid specific threads.",Belgium,Europe,,Mixed forums and health sites,Patient,Research/Information Seeking,Platform Preference,"[""belgium"", ""zappybabby"", ""e-gezondheid"", ""sudinfo""]",0.87,0.76
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Bulgaria shows low organic conversation but strong government-led awareness opportunity,"Bulgaria has very limited first-person fibroid discussion, but a 2015 public awareness campaign highlighted that roughly 500,000 women are affected.","The online conversation is sparse and often blended with Russian-language results, suggesting low awareness but a timely recruitment and education opportunity.","A national campaign ... indicated 500,000 women are affected by the condition ... awareness was not adequate.",Bulgaria,Europe,Free clinic patient,,Patient,Awareness,Awareness Campaign,"[""bulgaria"", ""awareness"", ""government-campaign"", ""low-volume""]",0.9,0.86
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,barrier,"Czech patients are overwhelmed by treatment consequences, especially embolization","In the Czech Republic, patients typically arrive late in the journey and are more concerned about treatment consequences than about the fibroids themselves.",Miscarriage anxiety and confusion around embolization create a strong need for reassurance and credible treatment guidance.,"Individuals were less concerned with their condition of the fibroids, but were concerned with the consequences of treatment options ... embolization ... confusing and overwhelming.",Czech Republic,Europe,Reluctant Surgery / Miscarriages,,Patient,Treatment Decision,Treatment Barrier,"[""czech-republic"", ""embolization"", ""miscarriage"", ""treatment-anxiety""]",0.91,0.87
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Czech emotion-heavy support happens mainly on women’s health forums,"Czech uterine fibroid conversations occur mainly on emotional peer-support forums such as Emimino.cz, Doktorka.cz, and Modrykonick.cz.",Trustworthy native-language medical information appears scarce compared with emotionally rich anecdotal threads.,"Czech uterine fibroid conversations appeared mostly on forum threads that discussed endometriosis ... Eminmino.cz, Diskuse.doktorka.cz, Modrykonick.cz, Iona.idnes.cz.",Czech Republic,Europe,,Forums,Patient,Treatment Research,Platform Preference,"[""czech-republic"", ""forums"", ""emotional-support"", ""endometriosis""]",0.89,0.8
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Finnish fibroid conversation is too sparse for strong personas and often shifts to fertility,"In Finland, fibroid-specific discussion largely evaporates when the topic is narrowed from general uterine health to fibroids, with fertility acting as the main surviving theme.",The report suggests English and Swedish sources may matter because Finnish women often turn to non-native-language resources.,"Conversations surrounding uterine fibroids in Finland ... are very limited ... If there were any mention of fibroids, it occurred in relation to fertility.",Finland,Europe,,,Patient,Awareness/Condition Exploration,Low-Volume Market Pattern,"[""finland"", ""fertility"", ""low-volume"", ""bilingual""]",0.86,0.73
